training_case,evaluation_case,model,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_09AW,1,53.75789453274648,12.93700345302315,55.292651256178935,47.47293666248389,84.9890952741103,89.03359820924108,95.84596803686102,96.08092968487618
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_10W,2,15.411970498592005,23.833777755050647,28.382702421133498,22.769945562280768,44.751233753867226,51.591435193913185,54.571101254305184,56.23790346667594
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_10AW,3,15.71403942080384,21.25264986633827,26.43115890875285,24.60774560542302,39.06325749953916,43.1313807948504,46.01483522284313,51.17745964705405
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_12W,4,22.304682197056962,17.834492417548834,28.558150635209493,22.73011125897463,44.23068176228817,47.648584991106446,57.13819759404677,60.69801538529241
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_13W,5,12.049820750130692,14.69624603872769,19.004679101239766,15.394710148286954,28.23624048383614,31.556220543741723,40.21913391722721,43.46488103313368
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_14W,6,17.78161450471326,17.99012433408339,25.294868806736446,21.758571490479525,38.03575358443315,41.343095009577674,46.024098501731565,52.73478148009089
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_15W,7,35.6107824299851,27.363018802940864,44.90949368770295,43.22262591767638,58.382904011436025,60.709285412755854,66.56632856062822,69.85758921529921
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_16W,8,15.102802991912478,20.87016776680521,25.761571396696972,20.387719347958566,38.94559823421177,43.49224599188732,51.97456522064879,53.193914677157025
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_17W,9,19.031254617146597,12.954698188614376,23.022008110952275,20.443748631778462,34.86476619725582,36.59095729159452,42.869785327527545,48.306303358873095
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_18W,10,25.42091835221587,42.07018154629641,49.154076791334056,46.96730446840253,64.70131618326542,74.3860004452237,83.2096304518744,87.12237346222109
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_19W,11,40.64140374954354,10.648222029242323,42.01319234618399,26.04221339384567,68.79937298065474,72.52165841848732,85.19024231187232,91.97442555386398
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_20W,12,27.52703836106758,19.055952278290032,33.47935420769274,30.349164663573944,47.22607761557419,50.73323446983127,58.49515670589484,60.1191532523022
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_21W,13,12.231941879019818,24.156806524374066,27.077143564042352,15.775068608854667,46.9112632496298,50.082740507357144,57.18481381365078,59.15819074180963
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_22W,14,42.37954233961574,33.958602244238186,54.306650378178006,55.66134747069187,68.13437830744024,70.50449234110621,85.26833398127835,86.5531468094647
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_23W,15,17.062244355718484,13.608176009216052,21.824358793606066,18.308879842169276,31.803128255289522,37.735283138166345,43.50386398334883,44.29779075780815
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_24W,16,31.612783006089586,17.896529559292862,36.32703978659354,33.060363216237945,55.87894948733079,59.8243531205451,65.35673665430001,67.66912449833264
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_25W,17,25.961394118941218,18.186218291438,31.69751599641256,28.384570659922908,44.839613542175684,51.86154527906688,55.50594631659851,56.06722948550027
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_26W,18,22.10026380203437,13.418422291498844,25.854897348713333,21.276836202290745,40.71938387832344,45.13483065883172,54.280250398797385,58.309194447053144
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_27W,19,16.857200003549625,18.875644876761687,25.307215600956443,22.333855670354573,37.50501076607675,42.1057553993401,52.619203757104145,56.304021140469104
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_28W,20,24.26343288777575,20.798006056887303,31.957334548455673,27.051163865080973,50.32198095566824,54.017300120654006,60.32587917121172,63.0122054378207
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_29W,21,15.83867144516514,44.52608622926725,47.259241086204845,46.63814462182138,63.387251174879324,65.64352385904346,66.67594547544824,67.30192263775221
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_30W,22,18.50261217898918,21.427229047074956,28.310294984014057,24.893125172993166,41.92968450753537,47.47450745575905,56.00089415687167,56.11380101149094
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_31W,23,33.70016001170982,14.4057343591154,36.65004730201918,27.280754762086666,58.649284177107404,68.30198009355014,69.39533100214503,70.13703446532992
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_32W,24,21.348221317531067,27.428395615465046,34.75720701467179,26.301362046277,55.3608233082404,63.259420518545085,71.86528855459285,73.21058789710436
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_33W,25,12.457400606469855,13.222290321655569,18.16633675841726,14.288869312128966,28.285845130849133,31.286248829953895,35.51734467549355,35.98140180352998
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_34W,26,13.033582664640466,11.258136919780297,17.222657285695977,14.38661596034919,24.238892348982226,28.75117479133292,32.47598734031543,40.16326802293566
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_35W,27,39.91209106099428,32.15236738155154,51.251826709877946,22.00820500450686,88.7736663561009,92.84164427156432,98.06075376240761,99.60404455142547
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_36W,28,20.24427769022718,14.33771244534279,24.807272670819085,19.59944161427265,38.529894871666755,41.270132556951104,55.33441854284957,57.282896187227685
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_37W,29,14.219475434124547,20.712288173240108,25.12354200730887,21.90256617810435,35.87494232554712,40.38957901894914,53.47577413046664,65.41402607179974
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_38W,30,19.717627024971858,27.107870113273986,33.52046296777587,30.23002390158628,46.3230217869757,48.4806137173599,59.1739397895311,68.89911059797626
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_39W,31,32.465966651554574,20.020835926612683,38.142795673891015,28.447966808208363,58.737014792407784,65.56633491845858,73.57353146176467,75.05056006965015
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_40W,32,13.665495739929787,13.647291718252436,19.313061514454944,14.831026551570847,28.057195504770466,35.50370515253234,43.78349735588692,45.584637929868194
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_41W,33,27.03712552901338,10.920829332290143,29.159401059977824,19.18670371008912,53.33002272496461,56.99558629038644,59.761831374127595,60.538426604336074
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_42W,34,36.16942660849159,23.975399894140384,43.39409200883233,42.01438551943029,63.81349628800295,67.63388799162021,70.47523837374422,74.43286058164362
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_43W,35,22.181182922738415,38.83301835583132,44.72145112221107,29.5135855877691,73.76416964347172,78.96687544710383,87.64172954865853,88.08987695003704
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_44W,36,13.241553609985504,13.936020496797553,19.223719965014094,17.571328914555203,27.694986544597455,30.819675384508443,38.07393093768922,45.63595601606182
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,SEX_45W,37,38.13783715901627,33.071863010557564,50.48012228745814,30.861315330147967,83.10942627858137,89.28715603041984,103.69996497087695,109.95829402518956
