method,target,target_index,realization,truth_x_um,truth_y_um,estimate_x_um,estimate_y_um,error_2d_um
gtpsa_k2_offset_order1_predicted_local,SEX_09AW,1,1,-159.92864014096077,165.12848489857137,0.0,0.0,229.87950422391867
gtpsa_k2_offset_order2_predicted_local,SEX_09AW,1,1,-159.92864014096077,165.12848489857137,-159.34444780651557,165.21056278369056,0.5899300491161376
gtpsa_k2_offset_order3_predicted_local,SEX_09AW,1,1,-159.92864014096077,165.12848489857137,-158.89651630048937,165.5725847234182,1.123612155727418
