sample_id,Q1_signed,Q2_signed,Qx_fractional,Qy_fractional,slip_tps_constant,xi_1,xi_2,slip_factor,twiss_seconds
0,-0.46984609809119743,-0.42092375657747416,0.5301539019088026,0.5790762434225258,0.0,-1.1723378153293342,-0.9660753232539784,-8.842321438933764,1.38775333
1,-0.4701150542376808,-0.4207648738908549,0.5298849457623191,0.5792351261091451,0.00011061097632765853,-1.1723378153293342,-0.9660753232539784,-8.842689797165004,1.38775333
2,-0.46974131552227905,-0.42129573818270366,0.530258684477721,0.5787042618172964,1.2379154420950244e-5,-1.1723378153293342,-0.9660753232539784,-8.841912556468106,1.38775333
3,-0.46982511615707095,-0.42101661658140743,0.530174883842929,0.5789833834185926,-4.372761910019418e-6,-1.1723378153293342,-0.9660753232539784,-8.842078765081032,1.38775333
4,-0.46976635995984256,-0.4205069164848662,0.5302336400401575,0.5794930835151337,-1.8269212333315478e-6,-1.1723378153293342,-0.9660753232539784,-8.842732293757098,1.38775333
5,-0.4699383619321764,-0.4208797585664163,0.5300616380678236,0.5791202414335836,-3.6376851026856894e-5,-1.1723378153293342,-0.9660753232539784,-8.842053861035064,1.38775333
6,-0.46990388357268376,-0.4209980098583478,0.5300961164273162,0.5790019901416522,-1.1784766747363122e-5,-1.1723378153293342,-0.9660753232539784,-8.84269799809578,1.38775333
7,-0.46983146756070693,-0.42109301800485144,0.5301685324392931,0.5789069819951486,3.196049679946812e-5,-1.1723378153293342,-0.9660753232539784,-8.84260612648362,1.38775333
8,-0.4700186957547041,-0.42084517062830296,0.5299813042452959,0.579154829371697,2.9215631200803777e-5,-1.1723378153293342,-0.9660753232539784,-8.842427172763657,1.38775333
9,-0.46985061982481113,-0.42105201701490413,0.5301493801751889,0.5789479829850959,6.984650421077776e-6,-1.1723378153293342,-0.9660753232539784,-8.841325260753052,1.38775333
